ant_id,support_id,operateur,generation,bande_mhz,systeme,statut,ant_lat,ant_lon,commune,code_insee,dist_ligne_km
745120,1822488,SFR,3G,900,UMTS 900,En service,45.67916666666667,3.4925,LAIRE,63334,4.8810805367714165
760707,2223875,SFR,2G,900,GSM 900,En service,45.69833333333333,3.586666666666667,,63434,0.28397184983462553
760708,2223875,SFR,4G,1800,LTE 1800,En service,45.69833333333333,3.586666666666667,,63434,0.28397184983462553
760709,2223875,SFR,4G,800,LTE 800,En service,45.69833333333333,3.586666666666667,,63434,0.28397184983462553
760710,2223875,SFR,3G,900,UMTS 900,En service,45.69833333333333,3.586666666666667,,63434,0.28397184983462553
769470,2505179,SFR,5G,2100,5G NR 2100,Techniquement opérationnel,45.5175,3.7852777777777775,,63374,4.779949468707573
769471,2505179,SFR,2G,900,GSM 900,En service,45.5175,3.7852777777777775,,63374,4.779949468707573
769472,2505179,SFR,4G,1800,LTE 1800,En service,45.5175,3.7852777777777775,,63374,4.779949468707573
769473,2505179,SFR,4G,2100,LTE 2100,En service,45.5175,3.7852777777777775,,63374,4.779949468707573
769474,2505179,SFR,4G,800,LTE 800,En service,45.5175,3.7852777777777775,,63374,4.779949468707573
769475,2505179,SFR,3G,900,UMTS 900,En service,45.5175,3.7852777777777775,,63374,4.779949468707573
769950,2518158,SFR,4G,700,LTE 700,En service,45.698611111111106,3.663333333333333,BEAUFRIAS,63258,3.628178893997881
769951,2518158,SFR,4G,800,LTE 800,En service,45.698611111111106,3.663333333333333,BEAUFRIAS,63258,3.628178893997881
769952,2518158,SFR,3G,900,UMTS 900,En service,45.698611111111106,3.663333333333333,BEAUFRIAS,63258,3.628178893997881
772321,2578104,SFR,5G,2100,5G NR 2100,Techniquement opérationnel,45.81888888888889,3.4405555555555556,LE BUIS,63364,9.771207419157559
772322,2578104,SFR,2G,900,GSM 900,En service,45.81888888888889,3.4405555555555556,LE BUIS,63364,9.771207419157559
772323,2578104,SFR,4G,1800,LTE 1800,En service,45.81888888888889,3.4405555555555556,LE BUIS,63364,9.771207419157559
772324,2578104,SFR,4G,2100,LTE 2100,En service,45.81888888888889,3.4405555555555556,LE BUIS,63364,9.771207419157559
